,original,predicted,score
15,файл «правду говорят скинхеды» названием «правду говорят скинхеды» материал: «правду говорят скинхеды» материал «правду говорят скинхеды» видеофайл «правду говорят скинхеды» видеоматериал «правду говорят скинхеды» видеоматериал: «правду говорят скинхеды»,"«видеоролик под названиями - правду говорят скины», «я не хочу быть толерантным» и «видео о толерантности», продолжительностью 6 минут 5 секунд, начинающийся с заставки фотоизображения и высказывания государственного деятеля российской империи следующего содержания: «народ, не имеющий национального само сознания - навоз, на котором произрастают другие народы. петр аркадьевич столыпин великий русский реформатор», и заканчивающийся изображением летящих птиц с текстом: ««мы должны защитить существование нашего народа и будущее наших детей» дейвид лейн», видеоряд которого сопровождается аудио текстом, начинающимся со слов: «машина либеральной пропаганды, машина лжи, день за днем ...» и заканчивающимся словами: «... и только от нас зависит будущее нашей страны, будущее наших родных и близких», выявленный по адресам: - https://vk.com/idl88683825 - https://www.ok.ru/video/9820702060 - https://www.youtube.com/watch?v=jzubocyhpwq, - https://www.youtube.com/watch?v=vtqcsgitpvg, https://vk.com/video304000382_171736778 (",4.6
16,видеофайла «обращение к чуркам» файла «обращение к чуркам» файл «обращение к чуркам» видеофайл «обращение к чуркам»,"видеоролик под названием «обращение к чуркам», размещенный в международной компьютерной сети «интернет» в социальной сети « » на странице курмакаева эльдара по адресу: http://vk.com/id 144542466 (",24.6
17,видеофайл «обращение бойцов славянского союза к русским» видеофайла «обращение бойцов славянского союза к русским» файл «обращение бойцов славянского союза к русским» файла «обращение бойцов славянского союза к русским»,"видеоролик «обращение бойцов славянского союза к русским», размещенный гончаровым о.в. на интернет-странице по адресу http://vkontakte.ru/id50692184, в социальной сети « ру» (",31.500000000000004
18,None,None,None
19,None,None,None
20,None,None,None
21,"словами: «…сестры и братья, просыпайтесь, пока не поздно!» названием «25-17- просыпайтесь» названием «25-17-просыпайтесь» словами: «у тебя не было ощущения. что ничего хорошего…»","аудиоматериал «25-17 - просыпайтесь!», длительностью 02 минуты 49 секунд, начинающийся словами: «у тебя не бывало ощущения. что ничего хорошего...» и заканчивающийся словами: «...сестры и братья, просыпайтесь, пока не поздно!», размещенный пользователем «максим шевчук» на официальном интернет-сайте на веб сервисе сайта «vk.com» (",100.19999999999996
22,None,None,None
23,видеофайлы «f.p.g. – ботинки» файлы «f.p.g. – ботинки»,"3 аудиозаписи: «железный порядок – белые шнурки», «f.p.g. – ботинки», «коловрат – гордость за расу и нацию» (",22.3
24,группе «ищу старый оскол»,"материал в разделе «959 фотографий», выполненный в виде изображения рейсхфюрера сс генриха гиммлера и подписи: «очищу вашу расу от жидов и хачей. недорого, тел. 14-88», опубликованный в международной компьютерной сети «интернет» на интернет - странице пользователя «александр буров» по электронному адресу: http:vk.com/idl38583227, созданной на сайте социальной интернет - сети « » по электронному адресу: http://vk.com (",2.3
25,None,None,None
26,видеоролик «монгол шуудан – бей жидов – спасай россию!» аудиозапись «монгол шуудан – бей жидов – спасай россию!» названием «свободы или смерть» аудиозаписи «монгол шуудан – бей жидов – спасай россию!» запись «монгол шуудан – бей жидов – спасай россию!» названием «сводоба или смерть» названием «свобода или смерть»,"видеоролики: «велимор-коловат», «коловат-герои рао», format 18- белый вагон», «коловат-mein kampf»; «казнь хачей (теги, скинхеды, самосуд, хачи)», аудиозаписи «коррозия металла – лучше мертвый чем живой», «коррозия металла - грязный город», «коррозия металла - я шагаю по москве», «»коррозия металла - свобода или смерть», размещенные в социальной сети « » информационно-телекоммуникационной сети «интернет» на странице пользователя (http://vk.com/id69598958) (",35.499999999999986
27,None,None,None
28,None,None,None
29,None,None,None
30,аудиозапись «25/17 – будь белым» запись «25/17 – будь белым»,"аудиозапись « «25/17 – будь белым», размещенная на интернет – странице http://vkontakte.ru (id15338492) социальной сети « » (",29.800000000000004
31,названием «негодники скинхеды обижают кавказцев»,"Аудиовизуальные материалы – видеоролики, размещенные Семеновым С.С. в сети «Интернет», содержащиеся в электронных файлах: «!_4TO_SPASLO_AFU.wmv»; «!_88 RAC.wmv»; «7.11.5.митинг.wmv»; «7pgb1h44vg08.WMV»; «1234.avi»; «A.C.A.B.wmv»; «AFA_S_BORODENKOI.wmv»; «agitaziya.wmv»; 2BEZ_SLOV_NA4ALO.wmv»; «BEZ_SLOV_OKON4ANIE.wmv»; «BOICOVSKII_KLUB_2.wmv»; «Brannik_Football_Violence.wmv»; «Brannik_White_Power.wmv»; «clean_zlo.wmv»; «Execution_of_traitor.WMV»; «F18 А ты - пацан.wmv»; «F18 Белая Русь.wmv»; «F18 Гибель Новгородского соратника.wmv»; «F18 Жертва шавок.wmv»; «F18 Зачистка.wmv»; «f18 Ку-Клукс клан(1024х768).wmv»; «F18 Он плохо кончил.wmv»; «f18 Операция Белый вагон.wmv»; «F18 О - е Красно - оранжевых геев.wmv»; «f18 Правый кулак Санкт-Петербурга.wmv»; «F18 Сбор модераторов.wmv»; «f18 Тренировки НСО.wmv»; «Format18[Uragan]---tenderneSS.wmv»; «Format18[Uragan]---trenning.wmv»; «F - k the red.WMV»; «H.D.S. 6 - Метро.WMV»; «Honor ""Full Of Hate"".wmv»; «Honor-Shanhedryn.WMV»; «Ich Will 2 Hooligans Edition.WMV»; «Initiation_88.wmv»; «INTERNAСIONALBOL6EVISTSKAA_PARTIA.wmv»; «Intervju u antifashista.wmv»; «INTERVU_S_DEPUTATOM.wmv»; «ivan.wmv»; «LEGENDA_OB_OB46.avi»; «milo.wmv»; «MTC.wmv»; «mv9ybh0brzks.wmv»; «NELEGALNAA_DVORNI4IHA.wmv»; «NOVGORODSKIE_AKCII.wmv»; «nswpvideo1.wmv»; «nswpvideo2.wmv»; «nswpvideo3.wmv»; «nswpvideo6.wmv»; «Polu4il_Po_Zaslugam.wmv»; «POSVA6ENIE_V_SKINHEDY.wmv»; «PRAMOE_DEISTVIE.wmv»; «PRAVYI_MAR6.wmv»; «RAZGON_MODNIKOV.wmv»; «rolik-ochistimmoskvu.wmv»; «rolik-ochistimmoskvu.avi»; «Romper_Stomper+RUS88.wmv»; «Rus_School_for_RUS_88.wmv»; «Russian_Fight_Club88.wmv»; «SEM_SOROK.wmv»; «Shit_Skinhead.WMV»; «spanish patriots 88.wmv»; «TUSOVKA_ANTIFA6ISTOV.wmv»; «Untitled_0002.wmv»; «VIVAT_ROSSIA.wmv»; «WhiteCross.wmv»; «Хорсс - Взаперти.wmv»; «Хорсс - Россия для Русских.wmv»; «ZAPOMNI_MENA.wmv»; «ZOGTV_VREME4KO.wmv»; «Абычный антифошизм.WMV»; «Акция в электричке. WMV»; «Виноградный День - Универсам Народный! смертельный бой за подешевле.avi»; «ВолкОлак - Слава Яриле (концерт).wmv»; «Времечко.wmv»; «вцепили хача.avi»; «вцеплии торговца хача.avi»; «Вышел гук из перехода….wmv»; «Гестапо. wmv»; «ДачнаисториХ.wmv»; «День рождениГитлера.WMV»; «Дети Африки.WMV»; «Еврейские могилы.WMV»; «зарница.wmv»; «Защити себя.WMV»; «Золотая Молодёжь Кавказа 3 серия-Ломаем скина.avi»; «Избиение мигрантов2.wmv»; «Избиение мигрантов3.wmv»; «Избиение мигрантов4.wmv»; «Избиение мигрантов5.wmv»; «Избиение мигрантов.wmv»; «Избиение хачика.wmv»; «Интервью с московскими Скинами.wmv»; «Кавказцев даже оружие не останавливает))) вот скины трусы).avi»; «Качай железо, Бритоголовый.WMV»; «Китайские скины жесть.avi»; «Клва Мести.WMV»; «Клип ""Война"".wmv»; «Копия Romper_Stomper+RUS88.wmv»; «Сельские махачи.avi»; «скинхеды!коментим видео!это ужас!п - ццц!что они сделали с чуваком!.avi»; «скины.…avi»; «хачи-людоеды.avi»; «Чурки 2.avi»; «ЧУрки лолки.avi»; «чурки.avi»; «Штурмфюрер.mp4» (приговор Петропавловск-Камчатского городского суда Камчатского края от 23.12.2010 и постановление президиума Камчатского краевого суда от 06.07.2016);",4.6
32,None,None,None
33,None,None,None
34,слов «будь русским!...» словами «...е. скворешнев»,"информационный материал - стихотворение евгения скворешнева под заголовком «будь русским!», опубликованное редактором газеты соломаха б.и. в газете «вести славян юга россии» №2 (193) за 2007 год (",26.900000000000002
35,None,None,None
36,None,None,None
37,None,None,None
38,None,None,None
39,названием «покушение на россию»,"видеоматериал, содержащийся в видеофайле под названием: «обращение амира ик доку абу усмана и амира супьяна к моджахедам идеаль-урала, вилайятам татарстан и башкортостан», размещенный на сайте сети интернет по адресу: http://vk.com/video156771693_161941156 (",5.199999999999999
40,None,None,None
41,группы «коррозия металла»,"аудиокомпозиция «коррозия металла-бей чертей» группы «коррозия металла», размещенная на интернет-сайте www.bisound.com (",24.900000000000002
42,None,None,None
43,файл «игры богов. «общение. музыка. слово» видеофайл «игры богов. «общение. музыка. слово» фильмов «игры богов»,"цикл фильмов «игры богов», состоящий из восьми актов: «театр», «артисты и зрители», «эстетика», «общение. музыка. слово», «правильное образование» (в трех частях), «славянские привычки», «живой огонь» (в четырех частях), «мир» (в двух частях) (",35.79999999999998
44,None,None,None
45,None,None,None
46,None,None,None
47,название «исламская умма» словами: «мы прежде смерть вкусить должны..» видеоролик «тимур муцураев – исламская умма»,текст песни и видеоролик «тимур муцураев – исламская умма» продолжительностью около 5 мин. 40 сек. (,53.499999999999986
48,"аудиозаписей ""русский стяг – мы идем"" аудиозаписи ""русский стяг – мы идем"" аудиозаписи"" размещены на хранении с целью использования (прослушивания) и массового распространения аудиозаписи ""","аудиоматериал «русский стяг - мы идем», длительностью 02 минуты 47 секунд, начинающийся словами: «поднимайтесь братья с нами, знамя русское...» и заканчивающийся словами: «...дорогу к стенам древнего кремля! мы идем! мы идем! мы идем!», размещенный пользователем «максим шевчук» на официальном интернет-сайте на веб сервисе сайта «vk.com» (",31.500000000000004
49,None,None,None
50,None,None,None
51,None,None,None
52,None,None,None
53,None,None,None
54,None,None,None
55,None,None,None
56,None,None,None
57,None,None,None
58,None,None,None
59,файлы: «мусульмане латвии (нашид на русском) призыв»,"информационный материал – электронная страница под именем «аматуллах замужем му`мина-иншааллаха» (электронный адрес http://vk.com/id82573615), текст начинающийся фразой «вставай, страна ислам, вставай на смертный бой» и оканчивающийся фразой «гнилой кремлевской нечисти загоним пулю в лоб, русизму с демократией», аудио и видео файлы: «1с2с96f47344. мусульмане латвии (нашид на русском) призыв.mp3»",34.09999999999998
60,None,None,None
61,None,None,None
62,"материал «инша аллах1, мы непременно освободим кавказ и … пришло время для настоящих мужчин» наименованием «сальма салимовна»","размещенные волковым к.а. в социальной сети « » по электронному адресу: http: vk.com\kashey_88, материалы, следующего содержания: – фотография рисунка, на котором изображен мужчина с топором на фоне гор, с надписью «бери топор встречай гостей с гор!»; – составленная из четырех частей фотография: три надписи «русская баня», «римская баня», «финская баня», «еврейская баня», сопровождаемая изображением печей, аналогичных тем, в которых сжигали людей в фашистских концлагерях; – четыре фотографии в одной, оформленные в стиле комикса, изображающие диалог между героями фильма «криминальное чтиво» в исполнении дж. траволты и с. джексона: «знаешь, почему машины чаще сбивают негров зимой? почему? их легче увидеть…»; – фотография футбольного судьи, поднявшего руку с открытой вперед ладонью, перед ним, у стоящего спиной к зрителю футболиста на футболке написан номер 88 и имя hitler; – фотография актера э. хопкинса в роли ганнибала лектора персонажа фильма – маньяка-убийцы, людоеда, подпись «не любите кавказцев? вы просто не умеете их готовить…»; – фотография гриба с нацистской символикой (правосторонняя свастика, вольфсангель, кельтский крест); надпись сверху «белый гриб»; стилизованная под готический шрифт надпись на ножке гриба «white poweт»; – фотография с изображением гитлера, брейвика, чикатило, сталина, бен ладана, надпись сверху «ну как можно злиться», снизу – «на таких няшек?»; – фотография, на которой изображены пятеро мужчин, предположительно выходцев с кавказа, трое из них несут барана; подпись «у кого-то сегодня будет секс»; – фотография из двух частей: верхняя часть содержит изображение девушки (на ее футболке надпись «девушка кавказца»), молодого человека (на его футболке надпись «кавказец»), нижняя – стоящего на коленях молодого человека, изо рта которого льются рвотные массы; – фотография человека с внешностью, похожей на кавказскую; надпись сверху «в то время, когда ты читаешь это предложение, в россии умирает один хач», подпись снизу (более крупным шрифтом) «не удержался, прочитал еще раз»; – рисунок шести расположенных в ряд лиц, под каждым подпись «чурка», общая подпись снизу «не путайте»; – изображение, состоящее из четырех фотографий, оформленное в стиле комикса: на первой – группа из пяти молодых людей, предположительно выходцев с кавказа (надпись сверху «любить кавказцев», снизу «не реально»), на второй – портрет а. гитлера (надпись сверху «но я, мечту свою», снизу «лелея»), на третьей – белый квадрат с надписью «решил проблему гениально», на четвертой изображены печи для сжигания людей в фашистских концлагерях с надписью «сожжём в печи их как евреев»; – текст «если русские встанут, кавказ ляжет!» (крупным шрифтом), «мы за сильную россию! за великую русь!»; – рисунок крокодила с открытой пастью, проглатывающего человека, похожего на хасида «holacoste» (",11.800000000000004
63,наименование «взрыв говд в назрани . смотреть до конца» наименованием «взрыв говд в назрани 2009г. смотреть до конца»,"информационный материал (видеофайл) «муджахиды имарата кавказ вилаята нохчийчоь. обращение амира абу усмана и саида бурятского», продолжительностью 21 мин. 22 сек., размещенный на странице социальной сети « » у пользователя «амина дмитриева» по адресу http://vk.com/id195479454; информационный материал (видеофайл) «муджахиды имарата кавказ вилаята г1алг1айчоь. наставление от саида бурятского шах1ид инша аллах1 часть1», продолжительностью 10 мин. 01 сек., размещенный на странице социальной сети « » по адресу «миха клюев» http://vk.com/id58630917; информационный материал (видеофайл) «саид бурятский слово об истишхаде», продолжительностью 13 мин. 34 мин., размещенный на странице социальной сети « » по адресу «миха клюев» http://vk.com/id58630917; информационный материал (видеофайл) «саид бурятский», продолжительностью 9 мин.23 сек., размещенный на странице социальной сети « » по адресу «миха клюев» http://vk.com/id58630917; информационный материал (видеофайл) «ислам завоет рим, европу и обе америки!», продолжительностью 2 мин. 24 сек., размещенный на странице в социальной сети « » по адресу «миха клюев» http://vk.com/id58630917; информационный материал (видеофайл) «не каждый кто делает намаз попадает в рай (шейх саид бурятский)», продолжительностью 9 мин. 49 сек., размещенный на странице социальной сети « » по адресу «роман борзый» http://vk.com/id21464252; информационный материал (видеофайл) «подрыв говд назрани. шейх саид бурятский», продолжительностью 6 мин. 14 сек., размещенный на странице социальной сети « » по адресу: «роман борзый» http://vk.com/id21464252; информационный материал (видеофайл) «шахид шейх саид бурятский: наставление и напоминание», продолжительностью 14 мин. 12 сек., размещенный на странице социальной сети « » по адресу «роман борзый» http://vk.com/id21464252 (",12.900000000000002
64,None,None,None
65,файл «тимур шейх саид бурятский: «ответ критикам» наименованиемвидеофайл «тимур шейх саид бурятский: «ответ критикам»,"видеофайл «ответ критикам шейх саид абу саад (рахимухуллах)», размещенный в социальной сети « » международной телекоммуникационной сети интернет на электронной странице под именем «алия микаилова» (электронный адрес http://vk.com/id 103173546) и в группе «ахли сунна валь-джамаат» (электронный адрес http://vk.com/ club 28725576) (",9.500000000000004
66,видеозапись «тимур муцураев- иерусалим 1998 г.» песня: «иерусалим» запись «тимур муцураев- иерусалим 1998 г.» наименованием,"видеозапись «тимур муцураев – иерусалим *1998 г.*» длительностью 9 минут 37 секунд, размещенная на сайте www.youtube.com по электронному адресу: http:// www.youtube.com/watch?v=xrbideonmha (",51.79999999999998
67,None,None,None
68,None,None,None
69,None,None,None
70,None,None,None
71,группы «дым» названием «дым» группы «грот»,"аудиофайлы с названиями «банда москвы виват россии.mp.3» и «грот-дым.mp3» (url-адрес: http:vk.com/id6641584, социальная сеть « ») (",44.599999999999994
72,видеозапись «бабушка отматерила чурку» запись «бабушка отматерила чурку»,"видеофайл «бабушка отматерила чурку» продолжительностью 1 мин., начинающийся со слов «я тебя ведь зарежу....» и заканчивающийся словами «... убью» (",26.900000000000002
73,файлу «грот-дым» аудиофайлу «грот-дым»,"аудиофайлы с названиями «банда москвы виват россии.mp.3» и «грот-дым.mp3» (url-адрес: http:vk.com/id6641584, социальная сеть « ») (",24.6
74,видеоролика «припомним жуликам и ворам их манифест-2002» видеоролик «припомним жуликам и ворам их манифест-2002» названием «припомним жуликам и ворам их манифест-2002»,«припомним жуликам и ворам их манифест-2002»,33.79999999999998
75,None,None,None
76,статью «обращение к сибирякам и россиянам» названием «обращение к сибирякам и россиянам» статья «обращение к сибирякам и россиянам» статьи «обращение к сибирякам и россиянам»,"статья под названием «обращение к сибирякам и россиянам», начинающаяся словами «дорогие земляки-сибиряки и соотечественники россияне!», и заканчивающаяся словами «во славу рода и руси! азарий», размещенная на интернет-странице http://azariypb.livejournal.com/2243.html (",27.500000000000004
77,None,None,None
78,"видеоролик «россия для русских. не веришь, посмотри….»","видеофайлы «россия для русских! не веришь – посмотри!!!» и «стоп миграция. за визовый режим!», размещенные в сети интернет (",33.79999999999998
79,"группы «хорсс» группы «ps 7.62» группы «аргентина» названием «злей, значит сильней» названием «священная расовая война» названием «секс драка»","текстовая часть аудиозаписи «хорсс - злей, значит сильней», длительностью 03 минуты 03 секунды, начинающаяся словами: «история улиц, написанная кровью, жестока, зла и не размыта любовью.» и заканчивающаяся словами: «.сотни жизни в твоих руках. злей, значит сильней» (повтор 2 раза), размещенная в сообществе «группа хорсс» на интернет-сайте «vk.com» (",49.19999999999999
80,None,None,None
81,"слово», «правильное образование» фильмов «игры богов»","цикл фильмов «игры богов», состоящий из восьми актов: «театр», «артисты и зрители», «эстетика», «общение. музыка. слово», «правильное образование» (в трех частях), «славянские привычки», «живой огонь» (в четырех частях), «мир» (в двух частях) (",49.79999999999998
82,None,None,None
83,None,None,None
84,None,None,None
85,None,None,None
86,"наименованием «игры богов. акт 8. мiръ, ч.2» наименованием «.... акт 8. мiръ, ч.2» наименованием: «.... акт 8. мiръ, ч.2»","цикл фильмов «игры богов», состоящий из восьми актов: «театр», «артисты и зрители», «эстетика», «общение. музыка. слово», «правильное образование» (в трех частях), «славянские привычки», «живой огонь» (в четырех частях), «мир» (в двух частях) (",8.900000000000002
87,None,None,None
88,None,None,None
89,записью «<....>» названием «звон мечей (производство игил)» запись «звон мечей (производство игил)» видеозапись «звон мечей (производство игил)»,"видеоматериал, содержащийся в видеофайле под названием: «обращение амира ик доку абу усмана и амира супьяна к моджахедам идеаль-урала, вилайятам татарстан и башкортостан», размещенный на сайте сети интернет по адресу: http://vk.com/video156771693_161941156 (",40.599999999999994
90,"наименованием «игорь князев» видеоролики: «игры богов – акт 7.3 – я и мы» слово», «правильное образование « (в трех частях» фильмов «игры богов»","цикл фильмов «игры богов», состоящий из восьми актов: «театр», «артисты и зрители», «эстетика», «общение. музыка. слово», «правильное образование» (в трех частях), «славянские привычки», «живой огонь» (в четырех частях), «мир» (в двух частях) (",60.699999999999974
91,None,None,None
92,None,None,None
93,None,None,None
94,"аудиокомпозиция ""коррозия металла-бей чертей"" аудиозаписи ""ансамбль х. с. и мать с. з."" словами ""…убей космонавтов! на … (нецензурное слово) их в п… (нецензурное слово)"" видеоролики ""коррозия металла – бей чертей, спасай россию"" группы ""коррозия металла"" названием ""убивай космонавтов"" словами ""я упорный сторонник народной расправы…""","текстовая часть аудиозаписи «ансамбль христа спасителя и мать сыра земля» под названием «убивай космонавтов», длительностью 03 минуты 27 секунд, начинающаяся словами: «я упорный сторонник народной расправы...» и заканчивающаяся словами: «... убивай космонавтов! на...(нецензурное слово) их! убивай их в п...(нецензурное слово)», размещенная в разделе «аудиозаписи» (https://vk.com/audios180231004) на интернет-сайте «vk.com» (",74.49999999999996
95,None,None,None
96,материал «звон мечей (салил саварим)» видеоматериал «звон мечей» названием «18+звон мечей» материал «звон мечей» названием «18+ звон мечей» видеоматериал «звон мечей (салил саварим)»,видеоматериал «звон мечей (салил саварим)» (,61.79999999999998
97,None,None,None
98,None,None,None
99,None,None,None
100,файл «видео: док. фильм «русское сопротивление» видеоролик «тесак против эдуарда багирова. допи-делся (нец.)» видеозапись «док. фильм «русское сопротивление» видеофайл «видео: док. фильм «русское сопротивление» группа «шмели» видеоролик «тесак против эдуарда багирова» фильм «русское сопротивление» запись «скинхеды. скин-гёрлы :)» видеозаписи «док. фильм «русское сопротивление» видеозапись «скинхеды. скин-гёрлы :)» видеоролика «тесак против эдуарда багирова» песни «бритоголовые москвички» запись «док. фильм «русское сопротивление» песней «шмели – бритоголовые москвички»,"видеофайл «видео: док. фильм «русское сопротивление», размещенный по адресу http://bashtube.ru/video/45183/ (",88.39999999999998
101,None,None,None
102,None,None,None
103,None,None,None
104,None,None,None
105,None,None,None
106,None,None,None
107,None,None,None
108,None,None,None
109,None,None,None
110,"материал «инша аллах1, мы непременно освободим кавказ и … пришло время для настоящих мужчин» наименованием «сальма салимовна»","размещенные волковым к.а. в социальной сети « » по электронному адресу: http: vk.com\kashey_88, материалы, следующего содержания: – фотография рисунка, на котором изображен мужчина с топором на фоне гор, с надписью «бери топор встречай гостей с гор!»; – составленная из четырех частей фотография: три надписи «русская баня», «римская баня», «финская баня», «еврейская баня», сопровождаемая изображением печей, аналогичных тем, в которых сжигали людей в фашистских концлагерях; – четыре фотографии в одной, оформленные в стиле комикса, изображающие диалог между героями фильма «криминальное чтиво» в исполнении дж. траволты и с. джексона: «знаешь, почему машины чаще сбивают негров зимой? почему? их легче увидеть…»; – фотография футбольного судьи, поднявшего руку с открытой вперед ладонью, перед ним, у стоящего спиной к зрителю футболиста на футболке написан номер 88 и имя hitler; – фотография актера э. хопкинса в роли ганнибала лектора персонажа фильма – маньяка-убийцы, людоеда, подпись «не любите кавказцев? вы просто не умеете их готовить…»; – фотография гриба с нацистской символикой (правосторонняя свастика, вольфсангель, кельтский крест); надпись сверху «белый гриб»; стилизованная под готический шрифт надпись на ножке гриба «white poweт»; – фотография с изображением гитлера, брейвика, чикатило, сталина, бен ладана, надпись сверху «ну как можно злиться», снизу – «на таких няшек?»; – фотография, на которой изображены пятеро мужчин, предположительно выходцев с кавказа, трое из них несут барана; подпись «у кого-то сегодня будет секс»; – фотография из двух частей: верхняя часть содержит изображение девушки (на ее футболке надпись «девушка кавказца»), молодого человека (на его футболке надпись «кавказец»), нижняя – стоящего на коленях молодого человека, изо рта которого льются рвотные массы; – фотография человека с внешностью, похожей на кавказскую; надпись сверху «в то время, когда ты читаешь это предложение, в россии умирает один хач», подпись снизу (более крупным шрифтом) «не удержался, прочитал еще раз»; – рисунок шести расположенных в ряд лиц, под каждым подпись «чурка», общая подпись снизу «не путайте»; – изображение, состоящее из четырех фотографий, оформленное в стиле комикса: на первой – группа из пяти молодых людей, предположительно выходцев с кавказа (надпись сверху «любить кавказцев», снизу «не реально»), на второй – портрет а. гитлера (надпись сверху «но я, мечту свою», снизу «лелея»), на третьей – белый квадрат с надписью «решил проблему гениально», на четвертой изображены печи для сжигания людей в фашистских концлагерях с надписью «сожжём в печи их как евреев»; – текст «если русские встанут, кавказ ляжет!» (крупным шрифтом), «мы за сильную россию! за великую русь!»; – рисунок крокодила с открытой пастью, проглатывающего человека, похожего на хасида «holacoste» (",11.800000000000004
