,predicted,case_number,category
10,"аудиоматериалы, размещенные на интернет-ресурсе http://vkontakte.ru/id94170133: «они ушли», «таухид», «удар клинка», «чечня в огне», «шахид» (",50,национализм (кавказ)
11,"видеофайлы «мусульмане, где вы??? – проданные крылья джихада», «тимур муцураев – иерасулим», «чеченцы о войне в чечне», «шамиль басаев – правда про беслан», «shamil basaev», аудиофайлы «тимур муцураев – галерея памяти», «тимур муцураев – о русь, забудь былую славу», «тимур муцураев – салман радуев», текст песни «тимур муцураев – галерея памяти шахиды» (",49,национализм (кавказ)
12,текст песни и видеоролик «тимур муцураев – исламская умма» продолжительностью около 5 мин. 40 сек. (,48,национализм (кавказ)
13,"видеоматериалы: bom 1, brannik whit power, honop full of hate, skinhead, vivat rossia, банда москвы – русский солдат, митинг, последний бой, «ультиматум», прямое действие; аудиоматериалы: б.и.-14 коловрат «правый бритоголовый», б.и.-14 банда москвы «салютуй моей стране», б.и.-14 киборг «слава россии», б.и.-14 циклон б «это наш век», б.и.-14 – див «злой хер», б.и.-14 – «скороспилсия трепещите», б.и.-14 – доберман «за новый рассвет», б.и.-14 – доберман «черное пятно», б.и.-14 – сленг «чеченский террор», б.и.-14 – склеп «патриот», б.и.-14 – духи цеха «n.d», коловрат – россия, банда москвы – арийский легион, вандал – наш путь, коловрат – московский скинхеды, позиция – без _палева-bg, коловрат – наша страна, банда москвы – уличный бой, cwt – 15 суток, позиция – dont stop hooligans-bg, коловрат – бесстрашный, белый и гордый, коловрат – девятый вал, циклон б - ты skinhead и я (",47,национализм
14,"видеоролик «обращение бойцов славянского союза к русским», размещенный гончаровым о.в. на интернет-странице по адресу http://vkontakte.ru/id50692184, в социальной сети « ру» (",46,национализм
15,"текст песни группы «коловрат» под названием «честь и кровь», автором и исполнителем которой является герасимов денис андреевич (",34,национализм
16,"видеоматериал, содержащийся в видеофайле под названием: «обращение амира ик доку абу усмана и амира супьяна к моджахедам идеаль-урала, вилайятам татарстан и башкортостан», размещенный на сайте сети интернет по адресу: http://vk.com/video156771693_161941156 (",34,национализм (кавказ)
17,"аудиозапись под названием «тимур муцураев - 12000 муджахедов.mр3» продолжительностью 04 мин. 45 сек., начинающаяся словами: «багрово на закате солнце...» и заканчивающаяся словами «все ж покорим йерусалим» (",33,национализм (кавказ)
18,"видеофайл «бабушка отматерила чурку» продолжительностью 1 мин., начинающийся со слов «я тебя ведь зарежу....» и заканчивающийся словами «... убью» (",32,ксенофобия
19,dvd-диск с фильмом «чудеса корана» (,32,религия (ислам)
20,"размещенные васильевым р.в. в сети «интернет» на созданной им общедоступной странице «роман <&got> васильев» в социальной сети « » по электронному адресу: http://vk.com/vandal31, видеоролик, содержащий психологические и лингвистические признаки призыва возбуждения ненависти, вражды в отношении группы лиц, объединенных по признаку национальной принадлежности, файл под названием «фотография 7», файл под названием «фотография 8», видеоролик под названием «формат 18)))» (",31,ксенофобия
21,"текст песни группы «коловрат» под названием «герои роа», автором и исполнителем которой является герасимов денис андреевич (",31,национализм
22,"аудиофайлы «банды москвы-молодой скинхэд», «коловрат-герои р.о.а.» «коловрат- кровь патриотов», «коловрат-радикальный голос», «коловрат-россия», видеозаписи «про скинов)», «россия для русских», размещенные в сети интернет в социальной сети « » на интернет-странице пользователя «виктор пикатов» по адресу http://vk.com/id97669321 (",31,национализм
23,информационный материал – видеоролик «тесак против эдуарда багирова. допи-делся (нец.)» временной продолжительностью 8 минут 32 секунды по адресу https://vk.com/videos99984588?z=video999845888_167454787%2falbum 99984588 (,31,национализм
24,"книги: 1) «крепость мусульманина. из слов поминания аллаха, встречающихся в коране и сунне», собрал и подготовил к изданию нуждающийся в аллахе всевышнем сайд бин али бин вахф аль-кахтани (на 254 л.); 2) «крепость мусульманина. из слов поминания аллаха, встречающихся в коране и сунне» (русский), собрал и подготовил к изданию нуждающийся в аллахе всевышнем сайд бин али бин вахф аль-кахтани (на 191 л.); 3) «призыв», издательского дома «бадр»; 4) «три основы» мухамилада солеха; 5) «ислам-это реальность» автора хайбулилова а.р.; 6) «мухаммад в библии» автора абдуль-ахада, дауда; 7) «жемчужина веры» благотворительного фонда «свет корана»; 8) «принципы правильного понимания в исламе» тауба набережные челны (",30,религия (ислам)
25,"аудиокомпозиция «коррозия металла-бей чертей» группы «коррозия металла», размещенная на интернет-сайте www.bisound.com (",29,национализм
26,аудиозапись «аргентина – секс драка (полная версия) 3:54» (,28,национализм
27,"материал, расположенный в сети интернет на сайте « » на странице под названием «марк пельц», с электронным адресом: «http://vk.com/id252604712», а именно графическое изображение, визуально разделенное на два фрагмента, на одном из которых изображена чернильница с пером, на другом мужчина и женщина с пояснительной надписью «чернильница бывает двух видов» с прикрепленными к нему аудиофайлами, среди которых файлы под названием: «шмели – бритоголовые девчёнки (я ненавижу русских шлюх), продолжительностью 02мин. 50сек.; «alai oli - зачем ты под чёрного легла?», продолжительностью 04мин. 42сек.; «kaffa – девочка – чернильница», продолжительностью 04мин. 16сек. (",25,ксенофобия
28,"видеофайлы: fuck the red.wmv; romper stomper.wmv; абычный антифошизм. wmv; akm.wmv; акция в метро.mpg; акция в электричке.wmv; антипутин. wmv; антифашист-интеллигент. wmv; а ты пацан. wmv; без слов начало.wmv; без слов окончание. wmv; благотворительность. wmv; бойцовский клуб.wmv; бойцовский клуб 2.wmv; болотная площадь -агитация.wmv; болотная площадь-попытка №1 .wmv; борис крысолов.wmv; бритый и злой . wmv; в гостях у красной мрази. wmv; веня петухов –лидер антифашистов. wmv; виват, россия!.wmv; временами, wmv; bpeмeчко.wmv; время ножей.wmv; вышел гук из перехода....wmv; гестапо. wmv; гей-бар. wmv; гибель соратника из нижнего новгорода.wmv; городские партизаны.wmv; горящая свастика.wmv; дачная история x.wmv; день победы.wmv; день рождения гитлера. wmv; дети африки. wmv; дым из трубы.wmv; еврейские могилы.wmv; запомни меня!.wmv; зачистка, wmv; защити себя!.wmv; ибп-wmv; интервью агентству reuters. mpg; интервью с щитскином.wmv; история сбербанка.wmv; казнь предателя. wmv; кара. wmv; качай железо, бритоголовый.wmv; китайское общежитие. wmv; клятва мести.wmv; красные геи.wmv; крылатые качели. wmv; кто, если не я. mpg; ку-клукс-клан. mpg; ловля на живца.wmv; марш. wmv; марш памяти тимура xaчаравы.wmv; минздрав.wmv; мир кожи и меха.wmv; миф о холокосте. wmv; моя поездка в минск.wmv; мыло.wmv; наркоманы.wmv; наша страна.wmv; haшествие.wmv; нашист одна штука.wmv; нелегальная дворничеха.wmv; немотивированное насилие.wmv; hигеры.wmv; новгородские акции.wmv; новый враг. wmv; обращение к правительству. wmv; он плохо кончил. wmv; операция белый вагон.wmv; опиздюляющиеся bместе.wmv; оранжевая революция.wmv; очищение от зла.wmv; памяти адольфа гитлера.wmv; памяти дмитрия боровикова.wmv; паразиты.wmv; пение птиц.wmv; повадки жидов.wmv.; погнали мента.wmv; поездка в питер.wmv; полезные советы.wmv; посвящение 2. wmv; посвящение бойца белой расы.wmv; похоронное бюро.wmv; правда о пелоткине и девушкине.wmv; правда о холокосте!. mpg; правда про oб46.avi; предвыборная агитация.wmv; преступный синдикат.wmv; прогулки возле гуковской общаги.avi; прогулки возле гуковской общаги 2.wmv; прямое действие.wmv; птичка счастья.wmv; разгон модников.wmv; peппep.wmv; рецепт приготовления негра.wmv; рудольф гecc.wmv; рукопашный 6oй.wmv; сбор модераторов ф18.wmv; семь copoк.wmv; скин с. wmv; смешной xaченок.wmv; спарринги нсо. wmv; стенка на стенку.wmv; строительство.wmv; тренировки hco.wmv; тусовка aнтифaшиcтoв.wmv; утро красного cкинa.wmv; файрплей с шокалом. mpg; хач - лопух.wmv; хач раскаивается. wmv; цыгане. mpg; чай с сахаром.wmv; чебурашка. wmv; член лимонова. mpg; шавки. wmv; iiiaвки-ремикc.wmv; штаб ннп 2002 год.wmv; штурмфюрер.wmv; щитский.wmv; экстремист.wmv; экстримизм с aтоматом.wmv, содержащиеся на на dvd диске «формат-18» (",24,другое
29,"аудиозапись « «25/17 – будь белым», размещенная на интернет – странице http://vkontakte.ru (id15338492) социальной сети « » (",23,национализм
30,"видеоклип «последнее интервью приморских партизан», размещенный в международной компьютерной сети интернет на сайте социальной сети www.vkontakte.ru (",22,негативное отношение к полиции
31,информационные материалы: - аудиозапись под названием «lip soulja - грязная прогулка (москва уже не та).mp3»; - аудиозапись под названием «lip soulja - народ устал терпеть.mp3»; - аудиозапись под названием «lip soulja - русские вперед.mp3» (,22,национализм
32,"видеоролики с названием «за..ли кавказцы», «московские скинхеды», «националисты», «обращение к русским», «подольские скины», «россия без ... », «рус, проснись», «русский забивает вонючего чурбана», «русский народ устал терпеть», «русский национализм», «русский очнись, против тебя идет война», «русский очнись», «русский проснись», «фанаты избили нерусских», «я не фашист я русский», размещенные филатовым виктором михайловичем в сети интернет на своей персональной странице в сети « », имеющей адрес: http://vk.com/idl4338873 (",21,национализм
33,"материалы, расположенные в сети интернет сайта « » на странице http://vk.com/club45276843: содержащиеся в аудиофайлах: «коловрат- в нашем доме появился замечательный скинхед мр.3; «коловрат-скинхеды мр.3», »хор сс -сопротивляйся.мр.3», «хорсс-rahowa.мр.3», «хорсс-арматура.мр3», «хорсс-бой.мр.3», «хорсс-время пришло.мр.3», «хорсс-арийский штурмовик.мр.3», находящиеся в сети интернет сайта « » в группе, расположенной по адресу: http://vk.com/club 45276843, по адресу http://vk.com/id78655196 на странице «роман фокинский» и на странице пользователя «вадим криутин» http://vk.com/id107854596 (",21,национализм
34,"аудиозаписи с названиями «коловрат (россия принадлежит нам) mp.3, «русский стяг (марш жестокой молодости) mp.3 (",20,национализм
35,"аудиофайл «коловрат – слава россии!!!», размещенный в сети интернет в социальной сети « » на интернет-странице пользователя «влад черняк» по адресу http://audios166856291 (",20,национализм
36,аудиофайл под названием «дюшес - я рисую белым мелом 14/88» (,19,национализм
37,"видеофайл с названием: «банда москвы - виват, россия!» (http://vkontakte.ru/ video41789778_161018550), размещенный в международной компьютерной сети «интернет» на информационной странице пользователя «александр кадынцев» (http://vkontakte.ru/id141789778) (",19,национализм
38,"видеоматериалы, размещенные на интернет-ресурсе http://vkontakte.ru/id6161885 «сергей приходько»: «русский бунт». погромы в москве. (15 декабря 2010)»; «беспредел в россии дпни тв - толерантность?» и «дпни тв»; «ты гори гори гори жидяра йо хо хо»; «останкино 18.12»; «…смотреть всем»; «а вы осуждаете скинхедов»; «зог тв»; «русское сопротивление»; «кадр из фильма россия 88»; «асав»; «банда москвы», а также аудиозапись: аудиозапись 1 «taz - грачи улетели, хачи прилетели» (",18,национализм
39,"аудиофайл тимура муцураева под названием «рай под тенью сабель», размещенный на странице пользователя «аслан одинокий волк масхадов», расположенной в сети «интернет» по адресу: http://vk.com./id134499693 (",18,национализм (кавказ)
40,"видеофайл формата mp4 «рабы, сосите пиво..mp4», размещенный в сети интернет на электронной странице http://vkontakte.ru/id4595303 (",17,другое
41,"следующие информационные материалы, размещенные в информационно-телекоммуникационной сети интернет по сетевому адресу http://www.vk.com/stas_gritsay: – видеозапись «бьют чурок!.mp4»; – видеозапись «дали пи**ы хачам.mp4»; – видеозапись «национал алисисты пи**ят хача.mp4»; – видеозапись «отпи**или чурок (всё правильно ну всё как там кричали, они русских убивают, чего вы их защищаете хачи.mp4»; – видеозапись «слава руси! смерть врагам! sieg heil!!!.mp4»; – аудиозапись «1488-россия для русских..mp3»; – аудиозапись «коловрат -анти-антифа ].mp3»; – аудиозапись «коловрат – правый скинхед.mp3»; – аудиозапись «коловрат [waptorrent.ru] - не покупай у чурок. mp3»; – файл (изображение) «2rzb641k5zw»; – файл (изображение) «7-0bfhyi7t4»; – файл (изображение) «9devyjxn52i»; – файл (изображение) «43z7dej3seo»; – файл (изображение) «aicw3reu8fw»; – файл (изображение) «dcaqeire5wi»; – файл (изображение) «egc3rnr65zq»; – файл (изображение) «elhmy6dayi4»; – файл (изображение) «ferj2nzf5lm»; – файл (изображение) «i2kmvwpv7ea»; – файл (изображение) «jp9cb0seba»; – файл (изображение) «kl_bi-2xwsm»; – файл (изображение) «lmqz1p2p3j0»; – файл (изображение) «o8403ifhj54» (",17,национализм
42,"Аудиовизуальные материалы «Железный порядок», «Железный порядок – национал социалисты», «Железный порядок – Белые Шнурки», «Железный порядок – Скин», «Железный порядок – терпению конец», «Железный порядок – Арийские борцы», «Циклон – Б – Ты скинхед и я», «Циклон – Б – Убей черную мразь», «Циклоп – Б – Дети гор»; аудиофайлы «Banda Moskvy – Immigrant», «Коловрат – наш символ свастика», «Коловрат – Слава России!!!», «Онархея 88 (Юрий элитно правый бритоголовый) и Макс Ххх – Эл», «Славянский корпус – Я русский!», «Кровь рейха – умри, позер, сидящий на форумах», «Онархея 88 – Жидок пархатый», «Кровь рейха – Моя толерантность»; видеофайлы «Format», «Rossiya dlya rasskih!», «SKIN UBIVAET HACHA», «Na kakom osnovanii skinhedy nasyvayut sebya arijcami», «ROSSIYA DLYA RUSSKIH», «Eto video posvyashyaetsya Maksimu Marcinkevichu (Tesaku) – Rus» (решениe Ленинского районного суда г. Пензы от 23.05.2014);",17,национализм
43,"3 аудиозаписи: «железный порядок – белые шнурки», «f.p.g. – ботинки», «коловрат – гордость за расу и нацию» (",16,национализм
44,"аудио-ролик «тимур муцураев_-_ иншааллаh сады нас ждут» длительностью 6 минут 26 секунд, размещенный в разделе «аудиозаписи» на странице пользователя (в социальной сети « ») глеб кармацких по адресу: http://vk.com/audios191320328 (",15,национализм (кавказ)
45,"аудиофайлы с названиями «коловрат – великие русы.mp.3» и «коловрат (анти-антифа).mp3» (url-адрес: http:vk.com/id6641584, социальная сеть « ») (",15,национализм
46,музыкальное произведение «убей мента» группы «психея»» (,14,негативное отношение к полиции
47,"музыкальные произведения праворадикальной группы «p.s. 7.62.» - песни, имеющие названия: «белая гвардия», «властелины руси», «единство», «информация к размышлению», «мой город», «ни огонь ни вода», «партизанская», «просьба», «священная расовая война», «собирательный образ», «сопротивление», «социум», «тем, кто помнит», «улица террориста кадырова», «фашизм не пройдет», «черный флаг», «право» (",13,национализм
48,"Аудиовизуальные материалы – видеоролики, размещенные Семеновым С.С. в сети «Интернет», содержащиеся в электронных файлах: «!_4TO_SPASLO_AFU.wmv»; «!_88 RAC.wmv»; «7.11.5.митинг.wmv»; «7pgb1h44vg08.WMV»; «1234.avi»; «A.C.A.B.wmv»; «AFA_S_BORODENKOI.wmv»; «agitaziya.wmv»; 2BEZ_SLOV_NA4ALO.wmv»; «BEZ_SLOV_OKON4ANIE.wmv»; «BOICOVSKII_KLUB_2.wmv»; «Brannik_Football_Violence.wmv»; «Brannik_White_Power.wmv»; «clean_zlo.wmv»; «Execution_of_traitor.WMV»; «F18 А ты - пацан.wmv»; «F18 Белая Русь.wmv»; «F18 Гибель Новгородского соратника.wmv»; «F18 Жертва шавок.wmv»; «F18 Зачистка.wmv»; «f18 Ку-Клукс клан(1024х768).wmv»; «F18 Он плохо кончил.wmv»; «f18 Операция Белый вагон.wmv»; «F18 О - е Красно - оранжевых геев.wmv»; «f18 Правый кулак Санкт-Петербурга.wmv»; «F18 Сбор модераторов.wmv»; «f18 Тренировки НСО.wmv»; «Format18[Uragan]---tenderneSS.wmv»; «Format18[Uragan]---trenning.wmv»; «F - k the red.WMV»; «H.D.S. 6 - Метро.WMV»; «Honor ""Full Of Hate"".wmv»; «Honor-Shanhedryn.WMV»; «Ich Will 2 Hooligans Edition.WMV»; «Initiation_88.wmv»; «INTERNAСIONALBOL6EVISTSKAA_PARTIA.wmv»; «Intervju u antifashista.wmv»; «INTERVU_S_DEPUTATOM.wmv»; «ivan.wmv»; «LEGENDA_OB_OB46.avi»; «milo.wmv»; «MTC.wmv»; «mv9ybh0brzks.wmv»; «NELEGALNAA_DVORNI4IHA.wmv»; «NOVGORODSKIE_AKCII.wmv»; «nswpvideo1.wmv»; «nswpvideo2.wmv»; «nswpvideo3.wmv»; «nswpvideo6.wmv»; «Polu4il_Po_Zaslugam.wmv»; «POSVA6ENIE_V_SKINHEDY.wmv»; «PRAMOE_DEISTVIE.wmv»; «PRAVYI_MAR6.wmv»; «RAZGON_MODNIKOV.wmv»; «rolik-ochistimmoskvu.wmv»; «rolik-ochistimmoskvu.avi»; «Romper_Stomper+RUS88.wmv»; «Rus_School_for_RUS_88.wmv»; «Russian_Fight_Club88.wmv»; «SEM_SOROK.wmv»; «Shit_Skinhead.WMV»; «spanish patriots 88.wmv»; «TUSOVKA_ANTIFA6ISTOV.wmv»; «Untitled_0002.wmv»; «VIVAT_ROSSIA.wmv»; «WhiteCross.wmv»; «Хорсс - Взаперти.wmv»; «Хорсс - Россия для Русских.wmv»; «ZAPOMNI_MENA.wmv»; «ZOGTV_VREME4KO.wmv»; «Абычный антифошизм.WMV»; «Акция в электричке. WMV»; «Виноградный День - Универсам Народный! смертельный бой за подешевле.avi»; «ВолкОлак - Слава Яриле (концерт).wmv»; «Времечко.wmv»; «вцепили хача.avi»; «вцеплии торговца хача.avi»; «Вышел гук из перехода….wmv»; «Гестапо. wmv»; «ДачнаисториХ.wmv»; «День рождениГитлера.WMV»; «Дети Африки.WMV»; «Еврейские могилы.WMV»; «зарница.wmv»; «Защити себя.WMV»; «Золотая Молодёжь Кавказа 3 серия-Ломаем скина.avi»; «Избиение мигрантов2.wmv»; «Избиение мигрантов3.wmv»; «Избиение мигрантов4.wmv»; «Избиение мигрантов5.wmv»; «Избиение мигрантов.wmv»; «Избиение хачика.wmv»; «Интервью с московскими Скинами.wmv»; «Кавказцев даже оружие не останавливает))) вот скины трусы).avi»; «Качай железо, Бритоголовый.WMV»; «Китайские скины жесть.avi»; «Клва Мести.WMV»; «Клип ""Война"".wmv»; «Копия Romper_Stomper+RUS88.wmv»; «Сельские махачи.avi»; «скинхеды!коментим видео!это ужас!п - ццц!что они сделали с чуваком!.avi»; «скины.…avi»; «хачи-людоеды.avi»; «Чурки 2.avi»; «ЧУрки лолки.avi»; «чурки.avi»; «Штурмфюрер.mp4» (приговор Петропавловск-Камчатского городского суда Камчатского края от 23.12.2010 и постановление президиума Камчатского краевого суда от 06.07.2016);",13,другое
49,"следующие печатные издания: 1. книга салих ас-сухейми «основы веры в свете корана и сунны» [салих ас-сухейми. абд ар-раззак аль-бадр, ибрахим ар-рухейли]; пер. с араб. э.р.кулиева; [под. ред. а.н.факихи, а. аль-гамиди]. - 2-е изд. - м.: издательский дом «умма», 2006. - 288 с. 2. книга са'ида бин али бин вахф аль-кахтани «крепость мусульманина; обращения к аллаху с мольбами; лечение с помощью заговоров, встречающихся в коране и сунне»/ пер. с араб. а.нирша; указ. к. кузнецов - 3-е изд., стереотип. - м.:умма, 2009 год - 416 с. 3. книга са'ида бин али бин вахф аль-кахтани «крепость мусульманина: обращения к аллаху с мольбами; лечение с помощью заговоров, встречающихся в коране и сунне»/ пер. с араб. а.нирша; указ. к. кузнецов - 3- е изд., стереотип. - м.:умма. 2010 год - 416 с. 4. книга са'ида бин али бин вахф аль- кахтани «крепость мусульманина; из слов поминания аллаха, встречающихся в коране и сунне» / пер. с араб. абдулла нирша. - м.: издатель эжаев. 2006. - 256 с. (",13,религия (ислам)
50,видеоматериал «звон мечей (салил саварим)» (,13,игил
51,"музыкальные произведения – аудиозаписи «зига-зага, пам, пам», «не покупай у чурок!» группы «коловрат» (",12,ксенофобия
52,"аудиозапись - фонограмма, обнаруженная 11.10.2011 в сети интернет на сайте « » на странице пользователя «илья белоусов» по адресу: http://vkontakte.ru/id67446493 «аргентина - шире шаг» (",12,другое
53,"видеоролики (видеоматериалы), размещенные золотарёвым а.с. в социальной сети «vkontakte.ru» на странице под ником «толян мясной золотарёв» id58050453 под названием: «14/88flv» (видеофайл размером 7, 61 мб, длительностью 02 мин. 57 сек.), «format 18–бритый и злой.flv» (видеофайл размером 9,97 мб, длительностью 03 мин. 11 сек.), «россия для русских.flv» (видеофайл размером 6,09 мб, длительностью 02 мин. 21 сек.), «скины какие они есть.flv» (видеофайл размером 11,9 мб, длительностью 03 мин. 41 сек.), «скины так будет с каждым.flv» (видеофайл размером 6,03 мб, длительностью 02 мин. 20 сек.), содержащиеся на dvd диске (",12,национализм
54,"размещенной в сети «интернет» стихотворный текст под названием «ломоносов. ода на взятие иерусалима», начинающийся со слов «восторг внезапный ум пленил, ведет наверх горы сионской...» и заканчивающийся словами «работать? – никогда! нигде! лишь только предаваться пьянству» (",12,другое
55,"аудиофайл «монгол шуудан – бей жидов – спасай россию!», размещенный 05 мая 2010 г., продолжительностью 01 минута 41 секунда",11,антисемизм
56,"видеофайлы «коловрат - футбольный хулиган».mp4, «россия для русских».mp4; аудиофайлы «банда москвы - арийский легион! mp3», «банда москвы - молодой скинхед. mp3» (",11,национализм
57,"видеофонограммы, размещенные на странице под именем «сергей комлев» на сайте социальной сети « » по ссылке http://vkontakte.ru/id49864195: «злая россия»; «задумайтесь, славяне!!!»; «чеченских детей с детства учат, что они должны убивать русских» (",11,национализм
58,"видеофайл формата mp4 «русские парни против хачей русские сила..mp4», размещенный в сети интернет на электронной странице http://vkontakte.ru/id4595303 (",11,национализм
59,"текст песни «я за зож, всех на нож, кто на людей не похож» музыкальной группы аргентина и околорэп, размещенный на указателе страницы сайта «http://www.boonex.ru/525642/», продолжительностью 03 минуты 24 секунды (",11,другое
60,"видеоматериал «перевод нашиды 'ахи анта хьуррун' (брат, ты свободен)», размещенный на интернет-ресурсе http//vk.com/id227155313 в социальной сети « » (",11,другое
61,"размещенные боженковым павлом олеговичем в сети «интернет» на сайте www.vkontakkte.ru следующие материалы: 1) видеоролик «крэг-вечный рай (crack-eternal paradise)» (файл « krek-vechnyj raj (crack-eternal paradise).240.mp4, размером 12,2 мб, продолжительностью 04 мин.34 сек.), 2) аудиозапись «коловрат-правый скинхед» (файл «kolovrat-pravyj skinhed.mp3» размером 4,29 мб продолжительностью 04 мин.42 сек., 3) аудиозапись «велимор-россия 88» (файл «velimor-rossiya 88.mp3» размером 4,84 мб, продолжительностью 02 мин.06 сек.), 4) фотоизображение с надписью «на этой картинке нет хачей. добавь ее себе на стену, чтобы хоть где-то их не было», 5) фотоизображение с надписью «покупая у чурок, ты оплачиваешь пулю в спину своих детей», 6) фотоизображение с надписью «с праздником, мусульмане!», 7) фотоизображение с надписью «скажи чуркам нет!», 8) текст под названием «десять заповедей о кавказцах», 9) фотоизображение с надписью «давайте п…тъ хачей вместе», 10) видеоролик «выкинуть чурок! предвыборная агитация» (файл «vykinuf churejk! predvybornaja agitaciya.240.mp4»), размером 3,37 мб, продолжительностью 01 мин.27 сек.), 11) аудиозапись «ансамбль христа спасителя и мать сыра земля-ломая полумесяц» (файл «ansambl hrista spasitelyai mat* syra zemlya-lomaya polumesyac . тр3») размером 7,06 мб, продолжительностью 03 мин. 05 сек.) (",11,национализм
