,material
51,"книга из собраний сочинений саида нурси «рисале-и нур» «мунаджат (молитва). третий луч», 2002 год издания, перевод м.г. тамимдарова ("
52,"книга из собраний сочинений саида нурси «рисале-и нур» «тридцать три окна», 2004 год издания, перевод м. ирсала ("
53,"книга из собраний сочинений саида нурси «рисале-и нур» «основы братства», 2004 год издания, перевод м.г. тамимдарова ("
54,"книга из собраний сочинений саида нурси «рисале-и нур» «путь истины», 2004 год издания, перевод м.ш. абдуллаева, м.г. тамимдарова ("
55,"книга из собраний сочинений саида нурси «рисале-и нур» «посох мусы», год издания не указан, перевод т.н. галимова, м.г. тамимдарова ("
56,"книга из собраний сочинений саида нурси «рисале-и нур» «краткие слова», год издания не указан, перевод м.г. тамимдарова ("
57,"книга из собраний сочинений саида нурси «рисале-и нур» «брошюра для больных», 2003 год издания, перевод м.г. тамимдарова ("
58,"материалы, опубликованные в газете «за русь!» за 2005 год № 4 (49) редактор и издатель с. путинцев ("
59,"материалы, опубликованные в газете «за русь!» за 2006 год № 1 (50) редактор и издатель с. путинцев ("
60,"материалы, опубликованные в газете «за русь!» за 2006 год № 2 (51) редактор и издатель с. путинцев ("
61,информационные материалы статьи «давайте сдохнем» газеты «para bellum» № 9 за декабрь 2005 г. (
62,информационные материалы статьи «апофеоз прелюдий» газеты «para bellum» № 9 за декабрь 2005 г. (
63,книга «основы исламского вероучения (усус аль-акида)» (
64,"книга «исламская акида (вероучение, убеждение, воззрение) по священному корану и достоверным изречениям пророка мухаммада» ("
65,брошюра «ас-саляфия (правда и вымысел)» (
66,"книга «жизнеописание пророка, да благословит его аллах и приветствует» ("
67,брошюра «ислам сегодня» (
68,книга «слово о единстве» (
69,книга «установление законов аллаха» (
70,книга «программы по изучению шариатских наук» (
71,"книга «объяснение основ веры», краткий очерк догматов ислама ("
72,"книга «личность мусульманина, в том виде, который стремится придать ей ислам с помощью корана и сунны». 4-е издание ("
73,книга «отведение сомнений» (
74,"книга «книга единобожия», салих ибн фавзан ал фавзан ("
75,брошюра «разъяснение основ веры: заметки об истинном вероучении» (
76,книга «жизнь шейха мухаммада ибн абд аль-ваххаба…» (
77,книга «основы ислама» (
78,брошюра «необходимость соблюдения «сунны посланника аллаха» (да благословит его аллах и приветствует)». (
79,листовка с эссе «бал сатаны на обломках россии» за подписью «протоколы сахалинских мудрецов» (
80,печатный материал «русская фаланга» № 14 (42) от 25 декабря 2004 года (
81,печатный материал «республика» № 4 (18-24 апреля 2004 года) (
82,печатный материал «наш народный наблюдатель» № 1 (ноябрь 2003 года) (
83,брошюра «исламская вера» (
84,брошюра «приближение к аллаху – путь к успеху» (
85,брошюра «сознание «аль-ваъй» № 203 (
86,брошюра «сознание «аль-ваъй» № 204 (
87,брошюра «сознание «аль-ваъй» № 205 (
88,брошюра «сознание «аль-ваъй» № 207 (
89,брошюра «сознание «аль-ваъй» № 208 (
90,брошюра «вхождение в общество» (
91,брошюра «партийное сплочение» (
92,брошюра «прокламации относительно хода действий» (
93,брошюра «путь к вере» (
94,брошюра «тафсир аятов» (
95,брошюра «система ислама» (
96,листовка со стихотворением «обращение к русским мужчинам на 23 февраля» за подписью «русские женщины» (
97,"листовка с заголовком «уважаемые земляки!», завершающаяся текстом «вступайте в славянский союз!» ("
98,листовка «славянский союз» с тремя изображениями и высказыванием «скажи «нет» инородной сволочи!!! вступайте в сс» (
99,стихотворение «чуда-юда» за подписью «николай федоров» (
100,фильм «россия с ножом в спине. еврейский фашизм и геноцид русского народа» (
101,"статья «религиозная экспансия или духовный экстремизм?», опубликованная в газете «чуйские зори» № 21 (2664) от 24 мая 2007 под псевдонимом «в. калягин» ("
102,текст песни «просторы европы» музыкальной группы «циклон б» (
103,текст песни «хрустальная ночь» музыкальной группы «циклон б» (
104,текст песни «в память героям» музыкальной группы «циклон б» (
105,текст песни «yo–yo – реп гнилье - yo» музыкальной группы «циклон б» (
106,текст песни «мой выходной» музыкальной группы «циклон б» (
107,текст песни «это война» музыкальной группы «циклон б» (
108,текст песни «отряд патриотов» музыкальной группы «циклон б» (
109,текст песни «смерть врагам!» музыкальной группы «циклон б» (
110,текст песни «каждый день под флагом смерти» музыкальной группы «циклон б» (
111,текст песни «моё клеймо (bonus track)» музыкальной группы «циклон б» (
112,текст песни «деим гор (remake)» музыкальной группы «циклон б» (
113,текст песни «это наш век» музыкальной группы «циклон б» (
114,газета «хидаят» № 4 (
115,газета «хидаят» № 5 (
116,газета «хикмат» (
117,газета «хукмат» (
118,брошюра – информационно-аналитический дайджест № 8 (
119,брошюра «воссоздание халифата – ответственность мусульман» (
120,брошюра «административные правила» (
121,брошюра «прокламации относительно хода действия» (
122,"брошюра «в предоставлении спецслужбам информации о хизбе, о его шабабах имеется очевидный вред, который запрещается исламом» ("
123,листовка «в башкортостане возобновились аресты мусульман» (
124,листовка «в уфе вынесли очередной приговор по делу хизб-ут-тахрир» (
125,листовка «правоохранительные органы рф фальсифицируют факты и лживо обвиняют хизб-ут-тахрир» (
126,листовка «как вести себя в случае контакта со спецслужбами» (
127,"сообщение (листовка), размещенное втулкиным александром александровичем на странице информационно-политического портала «zaks.ru» и на веб-сайте «агентства журналистских расследований» ("
128,"стихотворение «прогоните жида» (автор щербина в.п.), содержащегося в № 1 (5) за март 2006 г. газеты «русский вестник кубани» ("
129,"книга лотфуллина и.м., ислаева «джихад татарского народа» героическая борьба татар-мусульман с православной инквизицией на примере истории новокрещенской конторы» ("
130,книга доктора абд аль-азиз бин мухаммад «что нужно знать о единобожии» (
131,книга сафи ар-рахман аль-мубаракфури «мухаммад. да благословит его аллах и приветствует» (
132,листовка с названием «жидофашизм» (выходные данные «молодая гвардия» н. и а. июль 2007) (
133,листовка с названием «мнение всемирно известного писателя» (выходные данные «молодая гвардия» н. июль 2007) (
134,номер 2 газеты «наш народный наблюдатель» за февраль 2004 года (
135,номер 3 газеты «наш народный наблюдатель» за апрель-май 2004 года (
136,журнал «аль-ваъй» № 242 от апреля 2007 года (
137,"листовка «обязательность сплочения для того, чтобы вернуть халифат» ("
138,брошюра «размышление обывателя или что твориться в республике алтай?!» (
139,печатный материал «артоманс» № 1 (
140,печатный материал «артоманс» № 2 (
141,"видеоматериал, представляющий собой файл видеопровокация.avi, размещенный в информационно-телекоммуникационной сети «интернет» на сервере ооо «новгород дейтаком» по адресу ftp:// ftp5.natm./ru/incoming/clips/провокация фсб ("
142,"книга великого аятолла имам хомейни «завещание», издатель независимый информационный центр «тавхид», пп «чертановская типография» мосгорпечать (113545, москва, варшавское шоссе, 129а) ("
143,брошюра «мы верим – вы поможете!» (
144,агитационная листовка с названием «выборы – жидовское оружие захвата власти!» (
145,листовка «русский порядок» нацинформ № 1 молодежное крыло рязанской организации рне (
146,листовка «русский порядок» нацинформ № 23 (
147,"славянский языческий альманах «хорс», 2005, выпуск № 1 ("
148,"славянское языческое обозрение «хорс», 2006, выпуск № 2 ("
149,"славянское языческое обозрение «хорс», 2006, выпуск № 3 ("
150,"книга абдуррахмана раафата аль-баши «картинки из жизни сподвижников посланника аллаха (да благословит его аллах и приветствует)», издательский дом «бадр», москва, 2001 (125319, москва, ленинградский проспект, 64, стр.4) ("
151,листовка «мировоззрение» № 10 (30) за 2003 год (
152,листовка «мировоззрение» № 12 (32) за 2003 год (
153,листовка «мировоззрение» № 14 (34) за 2003 год (
154,листовка «мировоззрение» № 11 (45) за 2004 год (
155,листовка «мировоззрение» № 19 (53) за 2004 год (
156,листовка «мировоззрение» № 24 (58) за 2004 год (
157,листовка «мировоззрение» № 4 (62) за 2005 год (
158,листовка «мировоззрение» № 25 (83) за 2005 год (
159,листовка «мировоззрение» № 1 (84) за 2006 год (
160,листовка «информ. бюллетень. санкт-петербургская региональная организация рне № 18» (
161,листовка «что и как. пособие по уличному террору» (
162,листовка «братья и сесетра! все на митинг!!!» (
163,листовка «призыв к ингушским милиционерам» (
164,"листовка «поэма о жиде. москва, 1935 год. автор не известен» ("
165,листовка «русский порядок» нацинформ № 24 (
166,номер газеты «евпатий коловрат» № 45 за январь-февраль 2006 года (
167,номер газеты «евпатий коловрат» № 47 за май-июнь 2006 года (
168,номер газеты «радикальная политика» № 3 (58) за март 2006 года (
169,"книга «основы исламского вероучения. гакыйда (усус аль-акида)» (перевод на русский язык владимира абдаллы нирши, москва, 1998 г.) ("
170,"книга аш-шайх мухаммад ибн салах ибн усаймин «разъяснение основ веры. заметки об истинном вероучении», изданная министерством вакуфов призыва и наставления королевство саудовская аравия, напечатанная и опубликованная министерством 1423 год хиджры ("
171,"книга кузнецова п.и. «прозрение, или последние записки неизвестного схимонаха максима», изданная гуп пензенской области «издательский дом «кузнецкий рабочий», 2005 г. ("
172,"книга кузнецова п.и. «прозрение, или последние записки неизвестного схимонаха максима. продолжение 1», изданная гуп пензенской области «издательский дом «кузнецкий рабочий», 2006 г. ("
173,"книга кузнецова п.и. «прозрение, или последние записки неизвестного схимонаха максима. продолжение 2. обличение антихриста (или пособие для малого стада)», изданная гуп пензенской области «издательский дом «кузнецкий рабочий», 2006 г. ("
174,"книга кузнецова п.и. «сказание о сотворении и кончине мира», изданная гуп пензенской области «издательский дом «кузнецкий рабочий», 2007 г. ("
175,"книга кузнецова п.и. «7 голов и 10 рогов россии или последние доказательства свершающегося и завершающегося апокалипсиса», изданная гуп пензенской области «издательский дом «кузнецкий рабочий», 2007 г. ("
176,брошюра «тайна беззакония» (без данных об авторе и издателе) (
177,"брошюра «хизб-ут-тахрир аль-ислам» «стремление америки уничтожить ислам», на 19 листах ("
178,"брошюра «хизб-ут-тахрир аль-ислам» «основы программы обучения в исламском государстве», на 19 листах ("
179,"листовка «хизб-ут-тахрир аль-ислам» под названием «хизб-ут-тахрир в узбекистане относительно инцидентов, произошедших в ташкенте» ("
180,листовка «хизб-ут-тахрир аль-ислам» под названием «воззвание хизб-ут-тахрир к ученым аль-азхара» (
181,листовка «хизб-ут-тахрир аль-ислам» под названием «мусульмане стран запада не отказывайтесь от хиджаба» (
182,"листовка «хизб-ут-тахрир аль-ислам» под названием «мушарраф ведет пакистан к гибели, под именем борьбы с терроризмом» ("
183,листовка «хизб-ут-тахрир аль-ислам» под названием «нынешнее турне буша по европе выявляет неустойчивость единоличного господства америки в международной политике» (
184,"листовка «хизб-ут-тахрир аль-ислам» под названием «обман является оружием тирана узбекистана, и он трясется от страха» ("
185,листовка «хизб-ут-тахрир аль-ислам» под названием «поведение доблестных людей» (
186,листовка «хизб-ут-тахрир аль-ислам» под названием «дорогие братья!» (
187,"листовка «хизб-ут-тахрир аль-ислам» под названием «обвинение «хизб ут-тахрир» в подготовке действий, противоречащих его методу, для того, чтобы еще больше притеснять его и еще больше арестовывать его членов» ("
188,листовка «хизб-ут-тахрир аль-ислам» под названием «премьер-министр турции эрдоган встречается с еврейским лобби - убийцами тринадцатилетней палестинской девочки иман» (
189,"листовка «хизб-ут-тахрир аль-ислам» под названием «проект политического развития – ни что иное, как попытка погребения заживо политической деятельности в иордании» ("
190,"листовка под названием «заключение думачр по брошюрам движения «хизбу-тахрир», автор – аширов н.х. ("
191,листовка «хизб-ут-тахрир аль-ислам» под названием «разъяснение от хизб-ут-тахрир в индонезии относительно отрицания светского правления» (
192,"листовка «хизб-ут-тахрир аль-ислам» под названием «секуляризм потерпел крах, развитие произойдет лишь путем правления на основе того, что ниспослал аллах, установление халифата и претворения в жизнь шариата» ("
193,"листовка «хизб-ут-тахрир аль-ислам» под названием «америка разжигает смуту в ираке посредством подлой игры. будьте бдительны, мусульмане!» ("
194,"листовка «хизб-ут-тахрир аль-ислам» под названием «великие мировые державы не имеют единства между собой на своих саммитах, но едины против вас – мусульман» ("
195,"листовка «хизб-ут-тахрир аль-ислам» под названием «мусульмане, остерегайтесь межконфессиального вооруженного конфликта!» ("
196,листовка «хизб-ут-тахрир аль-ислам» под названием «нынешний правящий режим оказался безуспешным в защите уммы от «колонизаторской агрессии» (
197,листовка «хизб-ут-тахрир аль-ислам» под названием «кто является истинным виновником авиакатастрофы в аэропорту ташкента?» (
198,"листовка «хизб-ут-тахрир аль-ислам» под названием «ислам – это угроза для турции, наоборот, истинная угроза для нее – это выступление против законов ислама» ("
199,листовка «хизб-ут-тахрир аль-ислам» под названием «перемены проблемы «дарфур» (
200,листовка «хизб-ут-тахрир аль-ислам» под названием «посредством установления халифата спасем себя и мир» (
201,"листовка «хизб-ут-тахрир аль-ислам» под названием «делегация американского конгресса была почетно принята в бейруте, несмотря на то, что ее глава унизил исламскую религию» ("
202,листовка-разъяснение от «хизб-ут-тахрир» в индонезии по поводу взрыва возле австралийского посольства в джакарте» (
203,брошюра «хизб-ут-тахрир аль-ислам» «
204,листовка «хизб-ут-тахрир аль-ислам» под названием «политическая атака америки в шарм аш-шейхе – это завершение ее зверской военной атаки в фалудже» (
205,"брошюра «хизб-ут-тахрир аль-ислам», озаглавленная «ответы на вопросы», состоящая из 6 страниц ("
206,"брошюра «хизб-ут-тахрир аль-ислам», озаглавленная «ответы на вопросы», состоящая из 12 страниц ("
207,"журнал «аль-ваъй» № 209, состоящий из 30 листов ("
208,"журнал «аль-ваъй» № 216, состоящий из 22 листов ("
209,"журнал «аль-ваъй» № 217, состоящий из 34 листов ("
210,"журнал «аль-ваъй» № 211, состоящий из 24 листов ("
211,"журнал «аль-ваъй» № 203, состоящий из 28 листов ("
212,"журнал «аль-ваъй» № 216, состоящий из 32 листов ("
213,"журнал «аль-ваъй» № 206, состоящий из 26 листов ("
214,"журнал «аль-ваъй» № 222, состоящий из 24 листов ("
215,"журнал «аль-ваъй» № 207, состоящий из 26 листов ("
216,"журнал «аль-ваъй» № 214, состоящий из 24 листов ("
217,"журнал «аль-ваъй» № 208, состоящий из 26 листов ("
218,"вестник ""слово"" № 5 общины истинно православных христиан (староверов) во имя святого апостола андрея первозванного ("
219,"листовка, начинающаяся текстом «мы сильные, мы смелые, мы русские…» и заканчивающуюся текстом «…даже если дурака из тебя делают». ("
220,"книга хью тревор-ропера «застольные беседы гитлера. 1941-1944 гг.», изданная зао «центрполиграф» (г. москва, пер. оружейный, 15, стр.1) в 2005 году. ("
221,"листовка с изображением мужчины, содержащая текст, начинающийся словами «я сюда приехал с гор…», и призыв «русский, решай! (пока еще можешь)». ("
222,"номер газеты «я - русский» № 5, 6, 12, 13 за 2003 год ("
223,номер специального выпуска газеты «я - русский» № 1 за 2004 год (
224,брошюра «основы русизма» (
225,книга окорокова а.в. «фашизм и русская эмиграция» (
226,брошюры «русская воля» № 3 за 2000 год и № 6 за 2003 год (
227,печатный материал «о pеп! как много в этом звуке для сердца ниггера слилось!» (
228,журнал wild wеst stоriеs». (
229,"газета ""трудодни"" № 5 за сентябрь 2007 года с заголовком ""лимонка"" № 323 за сентябрь 2007 года ("
230,"газета ""трудодни"" № 7 за октябрь - ноябрь 2007 года с заголовком ""лимонка"" № 325 за октябрь - ноябрь 2007 года ("
231,"брошюра дильмухаметова айрата а. «войны против ублюдков», уфа, 2007, 68-с ("
232,выпуск газеты «рубеж» №7 (183) за ноябрь 2007 года (
233,выпуск газеты «кадет-ратич» № 8 за сентябрь 2003 года (
234,"выпуск газеты «кадет-ратич» № 9 за октябрь 2003 года, ("
235,выпуск газеты «кадет-ратич № 10 за январь 2004 года (
236,выпуск газеты «кадет-ратич» № 11 за март 2004 года (
237,выпуск газеты «аркаим» № 95 за сентябрь 2003 года (
238,выпуск газеты «аркаим» № 96 за октябрь 2003 года (
239,выпуск газеты «аркаим» № 97 за октябрь 2003 года (
240,выпуск газеты «аркаим» № 98 за ноябрь 2003 года (
241,выпуск газеты «аркаим» № 99 за ноябрь 2003 года (
242,выпуск газеты «аркаим» № 100 за ноябрь 2003 года (
243,выпуск газеты «аркаим» № 101 за ноябрь 2003 года (
244,выпуск газеты «аркаим» № 102 за декабрь 2003 года (
245,выпуск газеты «аркаим» № 103 за январь 2004 года (
246,выпуск газеты «аркаим» № 104 за январь 2004 года (
247,выпуск газеты «аркаим № 105 за февраль 2004 года (
248,выпуск газеты «аркаим» № 106 за февраль 2004 года (
249,"листовка с текстом: «знаете ли вы, что… ну, и долго мы еще как бараны, раскачиваться будем?! русская языческая община «наследие предков» ("
250,"листовка с текстом: «знаете ли вы, что …мы просто горим желанием выслать им открытки на 9 мая к «дню победы»» русская языческая община «наследие предков» ("
251,"книга ахмада дидата «сборник» нп издательский дом «бадр» москва, 2001, (г. москва, ленинградский проспект 64, стр. 4), отпечатанная в типографии оао «внешторгиздат», г. москва, ул. илимская,7) ("
252,"статья «общественная палата развязала войну», опубликованная в газете «русский фронт» «национальная газета» специальный выпуск № 3 (27) 2006 г., ооо «оид» «медиа - пресс», заказ 691349, тираж 10000, подписано в печать 29.04.2006 ("
253,"стихотворение «наш депутат», опубликованное в газете «русский фронт» «национальная газета» специальный выпуск № 3 (27) 2006 г., ооо «оид» «медиа-пресс», заказ 691349, тираж 10000, подписано в печать 29.04.2006 ("
254,"листовка под названием «обращение гражданам россии: реформа жкх очередной обман, дальше некуда…!!!» челябинского регионального отделения ндпр межрегионального общественного движения за национальное возрождение национально-державный путь руси ("
255,"информационные материалы на ресурсе http//аlех - со.ru/ аll/сеl. phtml сети интернет, ("
256,"информационные материалы, размещенные на интернет-сайте http://www.sakh-88.nm.ru/, ("
257,газета «правый взгляд» № 2 за 2005 год (
258,газета «правый взгляд» № 5 за 2005 год (
259,газета «правый взгляд» № 6 за 2005 год (
260,газета «правый взгляд» № 7 за 2005 год (
261,газета «щит народа» № 2 (19) за 2006 год (
262,"страницы, созданного мильковым виктором владимировичем в сети интернет, дневника – «живого журнала» по электронному адресу vik23.livеjоurnаl.соm ("
263,видеоролик под названием «казнь таджика и дага. 2007 нспр (операция нспр по аресту и казни двух колонистов из дагестана и таджикистана 2007 год)» (
264,"брошюра «русская национальная инициатива. что делать сейчас (программа минимум русского народа) санкт-петербург, 2006», созданную никольским владиславом ивановичем ("
265,"листовка, находящаяся в материалах уголовного дела № 200713601 в отношении монахова андрея андреевича и колыченкова сергея юрьевича, указанная в заключении лингвистической, политологической экспертизы от 27.06.2007 № 1 ("
266,"брошюра «славянские веды», изданная в 2001 году в г. москве ооо фирмой «витязь» ("
267,"статья «заявление о суде над еврейскими организациями» за подписью барышенко в.с., опубликованная в выпуске № 30 за 2002 год газеты «русская правда» на страницах 1-14 ("
268,"информационные материалы, размещенные в глобальной информационной сети интернет, в форме видеообращений с наименованием файлов: «pochemy mi voyuem»; «obrashenie seyfu llaha» на web-сайте по электронному адресу: www.camagat.com; на web-сайте по электронному адресу: http://www.kavkazcenter.com/ - «меджлис кабардино-балкарского сектора кавказского фронта 11 октября 2005 года»; «обращение амира сейфуллы осень 2007 года»; «оперативная база моджахедов кабардино-балкарского джамаата» ("
269,"информационные материалы, размещенные в глобальной информационной сети интернет, в форме аудиообращений с наименованием файла: «амир сейфулла о процессе подготовки к провозглашению кавказского эмирата» ("
270,"информационные материалы, размещенные в глобальной информационной сети интернет, в форме текстовых публикаций с наименованием файлов: «кто сомневается – пусть убоится аллаха!»; «приверженность и непричастность»; «победа от аллаха, также как и поражения»; «быть мусульманами до конца…»; «ответы амира сейфуллы на вопросы мусульман»; «джихад против вероотступников»; «мунафики приносят больше вреда, чем кафиры»; «амир сейфулла о процессе подготовки к провозглашению кавказского эмирата» ("
